Ground Truth,Strategy 0,Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Strategy 8,Strategy 9
-1537.628616,-14.046314,-16.696844,-72.822296,-0.57039243,-52.44834,-86.85692,-45.070133,-97.08319,-57.596867,-31.123419
-1544.60846,-46.781853,-1.0796856,-39.523132,-67.891624,1.3772322,-92.778984,-80.18112,-20.599808,-99.80962,-113.702194
-1551.909229,-12.137411,-15.137126,-71.41479,2.0126462,-51.92719,-87.18876,-46.526436,-97.5265,-57.556118,-28.959663
-1562.116417,-11.526207,-14.541287,-70.899315,2.666544,-51.990025,-87.56824,-47.696484,-98.33453,-57.836956,-28.107672
-1556.26261,-11.777,-14.8439865,-71.23738,2.3952966,-51.91832,-87.32297,-46.971382,-97.78855,-57.65277,-28.573555
-1548.993793,-13.32195,-16.035679,-72.51701,0.6828072,-52.30058,-87.36185,-45.958828,-97.5687,-57.700657,-30.17872
-1515.050917,-10.989798,-14.167872,-69.10686,2.1438346,-50.729874,-84.89372,-46.38147,-96.10929,-57.180126,-28.058775
-1547.538898,-14.234019,-16.820967,-73.42306,-0.6682306,-52.75433,-87.517685,-45.444546,-97.7397,-58.026203,-31.282387
-1556.401088,-50.1569,-4.4443545,-34.54978,-74.84255,1.4231343,-84.705345,-64.244446,-25.240614,-98.619354,-119.12903
-1560.380314,-52.51272,-5.6763563,-4.665563,-87.41146,0.21002397,-46.541935,-5.952834,-30.323719,-81.07162,-125.9371
-1534.10995,-14.284749,-16.486292,-71.9669,0.19067319,-51.89103,-87.35935,-46.313545,-97.1752,-57.662724,-30.171497
-1496.123409,-13.712843,-15.768986,-69.87518,0.110612795,-50.446793,-85.0818,-45.287933,-94.45865,-56.125164,-28.941957
-1542.787466,-14.402702,-16.563158,-72.51011,0.17915374,-52.23652,-87.75824,-46.41519,-97.72752,-57.9762,-30.405418
-1542.375113,-14.455939,-16.614344,-72.49004,0.1752359,-52.270092,-87.84949,-46.532005,-97.77314,-58.039497,-30.476593
-1551.453245,-14.21099,-16.76732,-73.40883,-0.3145976,-52.806618,-87.883446,-45.845238,-98.09394,-58.169907,-31.081379
-1545.09385,-14.440994,-16.62728,-72.61211,0.17198528,-52.347694,-87.93285,-46.539597,-97.90979,-58.08916,-30.443573
-1545.454092,-14.135369,-16.603668,-72.94915,-0.17483063,-52.439266,-87.62871,-45.804886,-97.69066,-57.84206,-30.689793
-1539.64712,-14.1786,-16.456993,-72.1295,0.20635314,-52.004845,-87.395935,-46.287296,-97.36259,-57.679184,-30.184492
-1554.206515,-47.28724,-1.3497479,-40.102684,-68.163605,1.3684312,-94.24264,-81.733246,-20.874403,-100.80962,-114.405174
-1553.981341,-13.385772,-16.06129,-72.717964,0.8028135,-52.487457,-87.77194,-46.2957,-98.03827,-57.969822,-30.163116
-1530.056982,-25.308046,-27.71354,-88.31889,-3.4651663,-61.639843,-86.36779,-23.92351,-89.33255,-52.663445,-53.469093
-1510.008121,-21.591377,-25.663855,-84.01084,-2.6614864,-59.102413,-83.499535,-27.719992,-86.99257,-52.502235,-52.337704
-1529.011592,-59.70522,-52.19603,-129.48299,-51.76683,-67.97374,-93.3035,-0.9489712,-88.797134,-57.8847,-87.77433
-1537.493679,-18.869238,-20.873045,-80.08502,-0.7601479,-58.205982,-86.915886,-43.5091,-94.92786,-57.589447,-40.779236
-1549.1567,-14.318482,-16.5855,-72.833885,0.19315033,-52.479633,-88.02627,-46.58896,-98.11045,-58.148235,-30.531994
-1549.342951,-14.373888,-16.605099,-72.81838,0.2550033,-52.4825,-88.09548,-46.69192,-98.136055,-58.166607,-30.524351
-1510.03393,-47.01471,-45.855267,-115.65132,-40.781586,-70.85487,-85.96322,-3.6337202,-89.23001,-53.7261,-84.83622
-1538.403336,-21.512833,-24.44232,-83.520294,-1.9012289,-59.903683,-86.218376,-33.949535,-92.09383,-55.373234,-48.051544
-1543.769841,-46.72625,-1.0569968,-39.886135,-67.08568,1.9258122,-93.87274,-81.69103,-20.494585,-99.94315,-113.27221
-1554.848071,-14.139508,-16.58904,-73.42846,-0.005037964,-52.826687,-88.10126,-46.19302,-98.30374,-58.27862,-30.829586
-1514.149845,-16.251947,-20.952055,-84.24065,-2.2178488,-52.317444,-75.38846,-13.324729,-75.67679,-43.4985,-53.6729
-1501.730349,-45.063496,-0.6687627,-38.820927,-64.67352,2.3718834,-91.05978,-79.54412,-19.494274,-96.67264,-109.637405
-1515.023919,-29.947313,-32.550217,-101.521225,-19.808998,-58.21713,-75.37756,-1.9060938,-75.62107,-45.627487,-71.20594
-1528.117728,-68.96979,-22.965235,-55.73986,-92.702095,-10.187798,-85.490326,-70.6655,-41.200626,-98.589455,-124.94355
-1546.827076,-14.482963,-16.65712,-72.72974,0.20280331,-52.44435,-88.12061,-46.660233,-98.08877,-58.217735,-30.57099
-1545.931645,-14.383461,-16.583412,-72.577576,0.26691926,-52.33689,-87.96747,-46.67718,-97.93672,-58.099213,-30.457098
-1526.283083,-45.89114,-0.7380013,-39.553158,-65.906715,2.393064,-92.695015,-80.909485,-19.80718,-98.26727,-111.545815
-1517.167454,-14.854763,-26.411682,-85.324844,-3.3091185,-59.420895,-69.6592,-8.258086,-75.26309,-43.831444,-68.93809
-1549.688491,-47.04774,-1.2518922,-39.97874,-67.704155,1.5315974,-94.04055,-81.65237,-20.727291,-100.49176,-113.945496
-1551.495518,-14.1841135,-16.514944,-72.886246,0.24361044,-52.511265,-87.988,-46.44184,-98.146065,-58.1144,-30.476425
-1514.594013,-51.61732,-46.45368,-121.70818,-46.285713,-63.75381,-87.020004,-1.1853572,-84.67632,-54.866333,-82.45712
-1453.079872,-44.831257,-2.0774596,-39.041306,-64.95754,1.4926661,-88.297676,-76.318275,-20.433443,-93.97165,-107.08025
-1520.542771,-61.59917,-52.268265,-129.93843,-51.551205,-67.652405,-93.7038,-1.3656194,-88.82335,-57.749607,-87.30466
-1531.369972,-70.93572,-24.812185,-59.412544,-91.894135,-11.685563,-87.2954,-72.51108,-42.764805,-98.99361,-126.873604
-1546.041609,-14.422736,-16.472124,-72.73464,0.27434888,-52.255585,-87.90158,-46.51713,-97.8185,-58.126633,-30.44128
-1546.317669,-14.333324,-16.36454,-72.72031,0.3377687,-52.18518,-87.76806,-46.500465,-97.69564,-58.050896,-30.39579
-1506.327565,-45.302223,-0.6611115,-39.175957,-64.89867,2.4896936,-91.499985,-79.88314,-19.410133,-96.81411,-109.922585
-1506.058272,-29.551643,-31.705242,-103.55375,-27.20104,-56.236557,-73.5772,-3.8424006,-73.31091,-45.70062,-71.33725
-1539.047667,-52.726006,-7.5325036,-43.777378,-78.60285,0.7888656,-87.63848,-73.8258,-26.812145,-99.29746,-115.71508
-1550.641316,-14.314563,-16.555779,-73.007614,0.12365851,-52.51102,-88.053116,-46.43037,-98.09047,-58.151363,-30.520641
-1512.469964,-35.341866,-34.463318,-107.86483,-33.29581,-55.523735,-77.0533,-3.2355855,-75.72122,-48.26013,-71.60178
-1510.699729,-42.245667,-32.89018,-110.635445,-34.644684,-48.498627,-80.278435,-6.577495,-72.52091,-46.211376,-65.4869
-1520.30574,-57.07735,-47.934837,-126.72474,-47.106815,-64.5158,-89.95278,-1.3313339,-85.469574,-55.35461,-83.0143
-1525.185788,-88.19303,-36.61992,-66.22582,-101.0014,-25.700151,-94.634674,-71.95406,-56.005642,-102.19924,-143.01048
-1546.267435,-13.768306,-15.941388,-72.44663,0.7094828,-51.73911,-87.28143,-46.28118,-97.10677,-57.800667,-30.090582
-1536.861796,-13.048161,-15.450306,-71.605255,0.87360144,-50.91872,-86.24947,-45.79537,-95.79596,-56.956078,-29.596289
-1498.079092,-45.04162,-0.64743567,-38.94258,-64.491974,2.4821587,-90.97348,-79.44333,-19.333593,-96.20872,-109.25381
-1514.445126,-60.695335,-16.636477,-54.462227,-84.49982,-4.095911,-84.927444,-74.513885,-33.076878,-94.60536,-116.20616
-1536.028307,-68.58107,-22.73596,-61.320194,-88.70927,-8.787052,-87.95745,-74.8886,-40.09767,-97.51679,-124.65596
-1549.029528,-14.421255,-16.482262,-72.83448,0.28884137,-52.35267,-88.04986,-46.594788,-97.99671,-58.213493,-30.4655
-1496.866006,-66.337585,-21.838459,-58.65959,-86.84818,-8.057795,-85.545135,-73.21722,-38.582733,-94.78329,-120.3523
-1458.519209,-64.728165,-21.6592,-56.99662,-84.92798,-8.589074,-83.7347,-70.40931,-38.509975,-93.20509,-118.27074
-1482.887966,-67.35877,-51.280273,-128.65353,-52.638718,-59.814034,-93.6177,-4.980268,-85.72436,-53.988194,-81.084816
-1525.563114,-89.754585,-37.43633,-67.060646,-101.530106,-26.413143,-95.54125,-72.31058,-56.63648,-102.01031,-143.933
-1464.505119,-13.094733,-15.130347,-68.47367,0.10341455,-48.813972,-82.80101,-44.029995,-91.67872,-54.55825,-28.021448
-1517.728034,-13.12909,-15.33504,-70.67164,0.43946117,-50.39963,-85.51758,-45.547432,-94.717834,-56.386017,-28.84283
-1525.466766,-45.8161,-0.69751763,-39.464203,-65.75337,2.4172733,-92.53034,-80.822876,-19.836363,-98.24303,-111.446846
-1526.130656,-65.99823,-21.119581,-58.81262,-87.50864,-7.201184,-86.5601,-74.23491,-38.08766,-96.44502,-121.69105
-1535.742266,-70.66209,-23.892244,-62.558567,-89.68052,-10.279111,-88.32639,-74.3051,-41.781765,-97.83299,-127.0637
-1538.307024,-76.971405,-29.058094,-61.33105,-95.40495,-16.296268,-89.51998,-72.38548,-47.785656,-100.22025,-132.89676
-1449.800344,-29.282234,-31.184748,-101.14075,-27.589079,-54.08705,-72.5699,-5.0769095,-71.35474,-44.98645,-68.849434
-1521.764903,-38.0432,-32.732845,-114.52965,-36.457664,-52.533916,-76.947845,-4.8954787,-69.88842,-45.943558,-70.1101
-1491.056598,-64.13547,-20.366747,-57.291256,-85.13709,-6.503213,-84.46569,-72.55391,-36.781963,-93.57108,-118.28422
-1517.037148,-72.441734,-25.781424,-61.732025,-90.88487,-12.9364805,-87.705475,-72.66982,-43.652374,-97.9834,-127.67645
-1493.020074,-44.94656,-0.7063707,-38.93217,-64.48935,2.478109,-90.59826,-79.19612,-19.239964,-95.884834,-108.87323
-1522.651328,-13.32964,-15.608564,-71.21991,0.12193377,-50.72015,-85.80302,-45.49513,-95.0469,-56.563934,-29.395885
-1520.579356,-45.647717,-0.7057138,-39.33053,-65.5359,2.418778,-92.23162,-80.54342,-19.789495,-97.943985,-111.06186
-1496.95603,-51.473354,-6.7659216,-46.29394,-76.897026,0.35580707,-85.02953,-75.73688,-25.109695,-95.0222,-109.308876
-1523.073724,-69.59184,-23.312006,-61.66174,-88.725914,-9.789213,-87.14726,-73.327995,-41.07779,-96.62585,-125.52919
-1531.482997,-46.021797,-0.7415975,-39.652515,-66.11622,2.3655562,-92.95937,-81.186,-19.959198,-98.64844,-111.92555
-1466.828627,-74.81518,-28.54204,-60.266125,-91.3835,-16.543524,-86.31762,-70.25201,-46.25707,-95.33492,-127.50434
-1501.417847,-32.239998,-31.14505,-115.65946,-37.71435,-55.2309,-70.018486,-3.9335332,-66.19763,-45.04278,-75.53052
-1526.552469,-84.32692,-34.181347,-64.39839,-99.27486,-22.967415,-92.2183,-71.42491,-53.40541,-101.64375,-140.08917
-1513.326775,-89.03285,-37.09438,-67.03319,-100.91184,-26.583786,-95.16468,-72.12199,-56.18733,-101.34247,-142.83064
-1525.814575,-13.597269,-15.846361,-72.02925,-0.38001028,-51.12891,-86.02263,-45.31022,-95.087265,-56.816883,-29.96841
-1520.600893,-13.112922,-15.353538,-71.02085,0.22241129,-50.416008,-85.6042,-45.381603,-94.62668,-56.41884,-29.120089
-1535.295152,-52.65547,-7.338959,-11.886422,-83.900734,2.1438642,-52.33086,-15.68555,-30.369738,-83.87331,-123.037155
-1490.784778,-73.028946,-26.65008,-59.802288,-91.29128,-14.685994,-85.4783,-69.38092,-44.844273,-96.32547,-127.890274
-1506.202522,-68.83454,-22.987095,-60.87636,-87.73652,-9.812463,-85.946754,-72.06985,-40.627834,-95.46517,-124.226
-1538.846125,-60.26453,-13.06084,-4.503975,-98.141106,-9.020655,-47.136044,-3.7354846,-37.094006,-82.39728,-133.27748
-1430.927061,-102.22491,-45.13483,-61.13787,-104.90659,-40.9287,-95.39743,-64.66349,-60.26735,-98.986465,-143.50708
-1478.990557,-85.08515,-37.970726,-56.733513,-100.04742,-26.019825,-89.143,-65.840485,-56.29904,-100.723595,-136.93753
-1526.481176,-115.18557,-50.35758,-71.99686,-113.01196,-48.93678,-108.67957,-73.613625,-66.9693,-106.775085,-158.17882
-1493.546934,-117.73043,-47.336617,-78.5736,-112.36732,-54.588554,-115.406906,-71.55709,-65.78425,-104.70784,-160.94995
-1464.073721,-102.59054,-44.84552,-61.444916,-106.51178,-40.04405,-95.88983,-64.28897,-60.372437,-100.780205,-146.16777
-1463.161239,-12.611042,-14.870691,-68.86115,0.16050254,-48.391228,-81.966545,-42.721405,-91.01139,-54.337597,-28.538725
-1503.439587,-120.73245,-43.843822,-85.0746,-112.1941,-65.61222,-125.074844,-76.76791,-67.3786,-110.96292,-170.83093
-1499.490256,-95.4512,-42.179783,-63.16742,-104.83978,-31.914371,-94.288635,-68.218,-59.969917,-101.651436,-145.37155
-1470.156446,-64.836525,-21.193956,-57.95747,-84.68081,-7.5560412,-83.52589,-71.526505,-37.691082,-92.46596,-118.11883
-1503.451756,-79.60378,-32.890144,-55.81849,-97.992386,-20.77528,-86.64103,-66.02047,-51.26724,-100.052414,-134.23907
-1462.899163,-112.85628,-45.199333,-76.47712,-110.395706,-54.017414,-113.14856,-70.70109,-64.57083,-102.770546,-157.07118
-1512.861203,-35.077396,-38.589066,-125.21401,-50.03676,-68.134476,-66.59461,-0.20532043,-70.64019,-53.072212,-90.999245
-1526.382926,-117.14109,-49.64824,-77.55586,-114.87866,-52.64757,-113.52942,-73.77154,-67.8104,-107.17892,-161.96413
-1515.626997,-119.52394,-44.809143,-83.13523,-113.20564,-60.877262,-122.56864,-75.008,-66.55552,-108.15534,-167.03749
-1397.689039,-13.7081585,-15.264481,-68.790276,-2.2052877,-47.538208,-77.61535,-38.771545,-85.738625,-52.271183,-31.113276
-1398.95084,-12.556364,-14.756061,-67.556694,-1.4649059,-46.96835,-77.23923,-39.067413,-86.21491,-52.051144,-29.714336
-1514.491091,-120.31576,-45.241116,-23.581814,-150.73853,-66.05793,-85.25731,-0.43449256,-49.633698,-100.118774,-158.82819
-1510.569463,-116.30042,-47.70189,-75.55864,-118.08159,-58.138298,-112.795135,-65.49959,-67.112915,-107.198204,-163.83508
-1474.971016,-75.44894,-28.3696,-62.447205,-91.17881,-16.521235,-87.22742,-70.77326,-46.381016,-96.066574,-129.33838
-1529.867097,-107.25991,-45.215958,-61.795464,-115.65137,-46.3427,-96.641594,-59.47062,-61.722397,-104.27634,-154.62221
-1468.153531,-105.86636,-42.27354,-70.122116,-111.774185,-49.902145,-104.74264,-66.271675,-60.303,-101.70043,-151.49107
-1441.442552,-105.10022,-42.848053,-67.66484,-112.43112,-54.388966,-104.29417,-61.876133,-62.012386,-103.83536,-152.40224
-1520.294645,-55.754864,-10.748585,-28.074486,-85.823364,2.1270185,-67.633095,-37.62122,-33.15517,-92.759155,-123.26751
-1508.314345,-118.59606,-45.531647,-82.004944,-112.99039,-58.981915,-120.38881,-74.04192,-66.26104,-106.65966,-164.78313
-1472.624076,-26.074167,-28.244675,-103.82193,-24.783073,-56.413258,-65.83728,-6.6295724,-68.66354,-46.50774,-72.06238
-1340.952263,-94.27581,-37.553562,-59.846405,-102.254,-43.696957,-90.26606,-55.15447,-53.637383,-93.07044,-137.32092
-1500.890076,-119.19958,-44.83193,-23.340006,-149.29742,-65.321175,-84.39763,-0.37288764,-49.189793,-99.0918,-157.22617
-1496.958654,-102.33981,-39.81891,-65.27378,-115.18117,-49.242855,-98.79432,-58.5475,-58.456615,-103.21536,-153.47525
-1452.074589,-79.387375,-30.438795,-57.670105,-97.19787,-23.514227,-86.24185,-65.316284,-48.821384,-96.97249,-131.76025
-1524.544018,-111.165924,-46.368156,-72.691574,-114.46701,-49.432842,-109.83011,-72.514046,-64.03557,-106.55233,-155.81505
